city,year,crime_original,crime_name,crime_section,incidences,rate
Coimbatore,2012,Total Rape,Rape,,20,0.9
Coimbatore,2012,Custodial rape,Custodial rape,,0,0
Coimbatore,2012,Other rape,Other rape,,20,0.9
Delhi City,2012,Total Rape,Rape,,585,3.6
Delhi City,2012,Custodial rape,Custodial rape,,0,0
Delhi City,2012,Other rape,Other rape,,585,3.6
Dhanbad,2012,Total Rape,Rape,,13,1.1
Dhanbad,2012,Custodial rape,Custodial rape,,0,0
Dhanbad,2012,Other rape,Other rape,,13,1.1
Durg-Bhilainagar,2012,Total Rape,Rape,,70,6.6
Durg-Bhilainagar,2012,Custodial rape,Custodial rape,,0,0
Durg-Bhilainagar,2012,Other rape,Other rape,,70,6.6
Faridabad,2012,Total Rape,Rape,,47,3.3
Faridabad,2012,Custodial rape,Custodial rape,,0,0
Faridabad,2012,Other rape,Other rape,,47,3.3
Ghaziabad,2012,Total Rape,Rape,,15,0.6
Ghaziabad,2012,Custodial rape,Custodial rape,,0,0
Ghaziabad,2012,Other rape,Other rape,,15,0.6
Gwalior,2012,Total Rape,Rape,,60,5.4
Gwalior,2012,Custodial rape,Custodial rape,,0,0
Gwalior,2012,Other rape,Other rape,,60,5.4
Hyderabad,2012,Total Rape,Rape,,74,1
Hyderabad,2012,Custodial rape,Custodial rape,,0,0
Hyderabad,2012,Other rape,Other rape,,74,1
Indore,2012,Total Rape,Rape,,125,5.8
Indore,2012,Custodial rape,Custodial rape,,0,0
Indore,2012,Other rape,Other rape,,125,5.8
Jabalpur,2012,Total Rape,Rape,,87,6.9
Jabalpur,2012,Custodial rape,Custodial rape,,0,0
Jabalpur,2012,Other rape,Other rape,,87,6.9
Jaipur,2012,Total Rape,Rape,,134,4.4
Jaipur,2012,Custodial rape,Custodial rape,,0,0
Jaipur,2012,Other rape,Other rape,,134,4.4
Jamshedpur,2012,Total Rape,Rape,,26,1.9
Jamshedpur,2012,Custodial rape,Custodial rape,,0,0
Jamshedpur,2012,Other rape,Other rape,,26,1.9
Jodhpur,2012,Total Rape,Rape,,40,3.5
Jodhpur,2012,Custodial rape,Custodial rape,,0,0
Jodhpur,2012,Other rape,Other rape,,40,3.5
Kannur,2012,Total Rape,Rape,,14,0.9
Kannur,2012,Custodial rape,Custodial rape,,0,0
Kannur,2012,Other rape,Other rape,,14,0.9
Kanpur,2012,Total Rape,Rape,,21,0.7
Kanpur,2012,Custodial rape,Custodial rape,,0,0
Kanpur,2012,Other rape,Other rape,,21,0.7
Kochi,2012,Total Rape,Rape,,28,1.3
Kochi,2012,Custodial rape,Custodial rape,,0,0
Kochi,2012,Other rape,Other rape,,28,1.3
Kolkata,2012,Total Rape,Rape,,68,0.5
Kolkata,2012,Custodial rape,Custodial rape,,0,0
Kolkata,2012,Other rape,Other rape,,68,0.5
Kollam,2012,Total Rape,Rape,,46,4.1
Kollam,2012,Custodial rape,Custodial rape,,0,0
Kollam,2012,Other rape,Other rape,,46,4.1
Kota,2012,Total Rape,Rape,,45,4.5
Kota,2012,Custodial rape,Custodial rape,,0,0
Kota,2012,Other rape,Other rape,,45,4.5
Kozhikode,2012,Total Rape,Rape,,36,1.8
Kozhikode,2012,Custodial rape,Custodial rape,,0,0
Kozhikode,2012,Other rape,Other rape,,36,1.8
Lucknow,2012,Total Rape,Rape,,24,0.8
Lucknow,2012,Custodial rape,Custodial rape,,0,0
Lucknow,2012,Other rape,Other rape,,24,0.8
Ludhiana,2012,Total Rape,Rape,,69,4.3
Ludhiana,2012,Custodial rape,Custodial rape,,0,0
Ludhiana,2012,Other rape,Other rape,,69,4.3
Madurai,2012,Total Rape,Rape,,11,0.8
Madurai,2012,Custodial rape,Custodial rape,,0,0
Madurai,2012,Other rape,Other rape,,11,0.8
Malappuram,2012,Total Rape,Rape,,11,0.6
Malappuram,2012,Custodial rape,Custodial rape,,0,0
Malappuram,2012,Other rape,Other rape,,11,0.6
Meerut,2012,Total Rape,Rape,,22,1.5
Meerut,2012,Custodial rape,Custodial rape,,0,0
Meerut,2012,Other rape,Other rape,,22,1.5
Mumbai,2012,Total Rape,Rape,,232,1.3
Mumbai,2012,Custodial rape,Custodial rape,,0,0
Mumbai,2012,Other rape,Other rape,,232,1.3
Nagpur,2012,Total Rape,Rape,,57,2.3
Nagpur,2012,Custodial rape,Custodial rape,,0,0
Nagpur,2012,Other rape,Other rape,,57,2.3
Nasik,2012,Total Rape,Rape,,20,1.3
Nasik,2012,Custodial rape,Custodial rape,,0,0
Nasik,2012,Other rape,Other rape,,20,1.3
Patna,2012,Total Rape,Rape,,35,1.7
Patna,2012,Custodial rape,Custodial rape,,0,0
Patna,2012,Other rape,Other rape,,35,1.7
Pune,2012,Total Rape,Rape,,85,1.7
Pune,2012,Custodial rape,Custodial rape,,0,0
Pune,2012,Other rape,Other rape,,85,1.7
Raipur,2012,Total Rape,Rape,,64,5.7
Raipur,2012,Custodial rape,Custodial rape,,0,0
Raipur,2012,Other rape,Other rape,,64,5.7
Rajkot,2012,Total Rape,Rape,,11,0.8
Rajkot,2012,Custodial rape,Custodial rape,,0,0
Rajkot,2012,Other rape,Other rape,,11,0.8
Ranchi,2012,Total Rape,Rape,,34,3
Ranchi,2012,Custodial rape,Custodial rape,,0,0
Ranchi,2012,Other rape,Other rape,,34,3
Srinagar,2012,Total Rape,Rape,,19,1.5
Srinagar,2012,Custodial rape,Custodial rape,,0,0
Srinagar,2012,Other rape,Other rape,,19,1.5
Surat,2012,Total Rape,Rape,,40,0.9
Surat,2012,Custodial rape,Custodial rape,,0,0
Surat,2012,Other rape,Other rape,,40,0.9
Thiruvananthapuram,2012,Total Rape,Rape,,41,2.4
Thiruvananthapuram,2012,Custodial rape,Custodial rape,,0,0
Thiruvananthapuram,2012,Other rape,Other rape,,41,2.4
Thrissur,2012,Total Rape,Rape,,35,1.9
Thrissur,2012,Custodial rape,Custodial rape,,0,0
Thrissur,2012,Other rape,Other rape,,35,1.9
Tiruchirappalli,2012,Total Rape,Rape,,7,0.7
Tiruchirappalli,2012,Custodial rape,Custodial rape,,0,0
Tiruchirappalli,2012,Other rape,Other rape,,7,0.7
Vadodara,2012,Total Rape,Rape,,11,0.6
Vadodara,2012,Custodial rape,Custodial rape,,0,0
Vadodara,2012,Other rape,Other rape,,11,0.6
Varanasi,2012,Total Rape,Rape,,11,0.8
Varanasi,2012,Custodial rape,Custodial rape,,0,0
Varanasi,2012,Other rape,Other rape,,11,0.8
Vasai-Virar,2012,Total Rape,Rape,,20,1.6
Vasai-Virar,2012,Custodial rape,Custodial rape,,0,0
Vasai-Virar,2012,Other rape,Other rape,,20,1.6
Vijayawada,2012,Total Rape,Rape,,47,3.2
Vijayawada,2012,Custodial rape,Custodial rape,,0,0
Vijayawada,2012,Other rape,Other rape,,47,3.2
Vishakhapatnam,2012,Total Rape,Rape,,50,2.9
Vishakhapatnam,2012,Custodial rape,Custodial rape,,0,0
Vishakhapatnam,2012,Other rape,Other rape,,50,2.9
Agra,2012,Kidnapping Total,Kidnapping & Abduction,,208,11.9
Agra,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,166,9.5
Agra,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,42,2.4
Agra,2012,Dacoity,Dacoity,,8,0.5
Ahmedabad,2012,Kidnapping Total,Kidnapping & Abduction,,229,3.6
Ahmedabad,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,183,2.9
Ahmedabad,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,46,0.7
Ahmedabad,2012,Dacoity,Dacoity,,24,0.4
Allahabad,2012,Kidnapping Total,Kidnapping & Abduction,,60,4.9
Allahabad,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,52,4.3
Allahabad,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,8,0.7
Allahabad,2012,Dacoity,Dacoity,,2,0.2
Amritsar,2012,Kidnapping Total,Kidnapping & Abduction,,52,4.4
Amritsar,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,45,3.8
Amritsar,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,7,0.6
Amritsar,2012,Dacoity,Dacoity,,2,0.2
Asansol,2012,Kidnapping Total,Kidnapping & Abduction,,77,6.2
Asansol,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,49,3.9
Asansol,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,28,2.3
Asansol,2012,Dacoity,Dacoity,,15,1.2
Aurangabad,2012,Kidnapping Total,Kidnapping & Abduction,,25,2.1
Aurangabad,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,18,1.5
Aurangabad,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,7,0.6
Aurangabad,2012,Dacoity,Dacoity,,25,2.1
Bengaluru,2012,Kidnapping Total,Kidnapping & Abduction,,532,6.3
Bengaluru,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,433,5.1
Bengaluru,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,99,1.2
Bengaluru,2012,Dacoity,Dacoity,,37,0.4
Bhopal,2012,Kidnapping Total,Kidnapping & Abduction,,47,2.5
Bhopal,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,33,1.8
Bhopal,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,14,0.7
Bhopal,2012,Dacoity,Dacoity,,1,0.1
Chandigarh City,2012,Kidnapping Total,Kidnapping & Abduction,,76,7.4
Chandigarh City,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,57,5.6
Chandigarh City,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,19,1.9
Chandigarh City,2012,Dacoity,Dacoity,,3,0.3
Chennai,2012,Kidnapping Total,Kidnapping & Abduction,,87,1
Chennai,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,65,0.7
Chennai,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,22,0.3
Chennai,2012,Dacoity,Dacoity,,2,0
Coimbatore,2012,Kidnapping Total,Kidnapping & Abduction,,20,0.9
Coimbatore,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,12,0.6
Coimbatore,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,8,0.4
Coimbatore,2012,Dacoity,Dacoity,,2,0.1
Delhi City,2012,Kidnapping Total,Kidnapping & Abduction,,3274,20.1
Delhi City,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,1787,11
Delhi City,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,1487,9.1
Delhi City,2012,Dacoity,Dacoity,,23,0.1
Dhanbad,2012,Kidnapping Total,Kidnapping & Abduction,,49,4.1
Dhanbad,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,40,3.3
Dhanbad,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,9,0.8
Dhanbad,2012,Dacoity,Dacoity,,7,0.6
Durg-Bhilainagar,2012,Kidnapping Total,Kidnapping & Abduction,,43,4
Durg-Bhilainagar,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,35,3.3
Durg-Bhilainagar,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,8,0.8
Durg-Bhilainagar,2012,Dacoity,Dacoity,,1,0.1
Faridabad,2012,Kidnapping Total,Kidnapping & Abduction,,103,7.3
Faridabad,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,87,6.2
Faridabad,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,16,1.1
Faridabad,2012,Dacoity,Dacoity,,10,0.7
Ghaziabad,2012,Kidnapping Total,Kidnapping & Abduction,,151,6.4
Ghaziabad,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,130,5.5
Ghaziabad,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,21,0.9
Ghaziabad,2012,Dacoity,Dacoity,,2,0.1
Gwalior,2012,Kidnapping Total,Kidnapping & Abduction,,63,5.7
Gwalior,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,56,5.1
Gwalior,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,7,0.6
Gwalior,2012,Dacoity,Dacoity,,3,0.3
Hyderabad,2012,Kidnapping Total,Kidnapping & Abduction,,88,1.1
Hyderabad,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,31,0.4
Hyderabad,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,57,0.7
Hyderabad,2012,Dacoity,Dacoity,,12,0.2
Indore,2012,Kidnapping Total,Kidnapping & Abduction,,48,2.2
Indore,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,38,1.8
Indore,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,10,0.5
Indore,2012,Dacoity,Dacoity,,4,0.2
Jabalpur,2012,Kidnapping Total,Kidnapping & Abduction,,27,2.1
Jabalpur,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,25,2
Jabalpur,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,2,0.2
Jabalpur,2012,Dacoity,Dacoity,,0,0
Jaipur,2012,Kidnapping Total,Kidnapping & Abduction,,225,7.3
Jaipur,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,191,6.2
Jaipur,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,34,1.1
Jaipur,2012,Dacoity,Dacoity,,5,0.2
Jamshedpur,2012,Kidnapping Total,Kidnapping & Abduction,,74,5.5
Jamshedpur,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,69,5.2
Jamshedpur,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,5,0.4
Jamshedpur,2012,Dacoity,Dacoity,,4,0.3
Jodhpur,2012,Kidnapping Total,Kidnapping & Abduction,,44,3.9
Jodhpur,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,36,3.2
Jodhpur,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,8,0.7
Jodhpur,2012,Dacoity,Dacoity,,0,0
Kannur,2012,Kidnapping Total,Kidnapping & Abduction,,6,0.4
Kannur,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,5,0.3
Kannur,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,1,0.1
Kannur,2012,Dacoity,Dacoity,,4,0.2
Kanpur,2012,Kidnapping Total,Kidnapping & Abduction,,182,6.2
Kanpur,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,159,5.4
Kanpur,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,23,0.8
Kanpur,2012,Dacoity,Dacoity,,2,0.1
Kochi,2012,Kidnapping Total,Kidnapping & Abduction,,6,0.3
Kochi,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,5,0.2
Kochi,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,1,0
Kochi,2012,Dacoity,Dacoity,,5,0.2
Kolkata,2012,Kidnapping Total,Kidnapping & Abduction,,271,1.9
Kolkata,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,210,1.5
Kolkata,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,61,0.4
Kolkata,2012,Dacoity,Dacoity,,8,0.1
Kollam,2012,Kidnapping Total,Kidnapping & Abduction,,21,1.9
Kollam,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,18,1.6
Kollam,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,3,0.3
Kollam,2012,Dacoity,Dacoity,,3,0.3
Kota,2012,Kidnapping Total,Kidnapping & Abduction,,82,8.2
Kota,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,62,6.2
Kota,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,20,2
Kota,2012,Dacoity,Dacoity,,0,0
Kozhikode,2012,Kidnapping Total,Kidnapping & Abduction,,5,0.2
Kozhikode,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,3,0.1
Kozhikode,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,2,0.1
Kozhikode,2012,Dacoity,Dacoity,,2,0.1
Lucknow,2012,Kidnapping Total,Kidnapping & Abduction,,214,7.4
Lucknow,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,203,7
Lucknow,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,11,0.4
Lucknow,2012,Dacoity,Dacoity,,6,0.2
Ludhiana,2012,Kidnapping Total,Kidnapping & Abduction,,123,7.6
Ludhiana,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,99,6.1
Ludhiana,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,24,1.5
Ludhiana,2012,Dacoity,Dacoity,,2,0.1
Madurai,2012,Kidnapping Total,Kidnapping & Abduction,,65,4.4
Madurai,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,51,3.5
Madurai,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,14,1
Madurai,2012,Dacoity,Dacoity,,2,0.1
Malappuram,2012,Kidnapping Total,Kidnapping & Abduction,,3,0.2
Malappuram,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,0,0
Malappuram,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,3,0.2
Malappuram,2012,Dacoity,Dacoity,,0,0
Meerut,2012,Kidnapping Total,Kidnapping & Abduction,,113,7.9
Meerut,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,85,6
Meerut,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,28,2
Meerut,2012,Dacoity,Dacoity,,8,0.6
Mumbai,2012,Kidnapping Total,Kidnapping & Abduction,,212,1.2
Mumbai,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,141,0.8
Mumbai,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,71,0.4
Mumbai,2012,Dacoity,Dacoity,,29,0.2
Nagpur,2012,Kidnapping Total,Kidnapping & Abduction,,53,2.1
Nagpur,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,39,1.6
Nagpur,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,14,0.6
Nagpur,2012,Dacoity,Dacoity,,13,0.5
Nasik,2012,Kidnapping Total,Kidnapping & Abduction,,18,1.2
Nasik,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,13,0.8
Nasik,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,5,0.3
Nasik,2012,Dacoity,Dacoity,,14,0.9
Patna,2012,Kidnapping Total,Kidnapping & Abduction,,290,14.2
Patna,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,244,11.9
Patna,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,46,2.2
Patna,2012,Dacoity,Dacoity,,29,1.4
Pune,2012,Kidnapping Total,Kidnapping & Abduction,,109,2.2
Pune,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,77,1.5
Pune,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,32,0.6
Pune,2012,Dacoity,Dacoity,,35,0.7
Raipur,2012,Kidnapping Total,Kidnapping & Abduction,,17,1.5
Raipur,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,11,1
Raipur,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,6,0.5
Raipur,2012,Dacoity,Dacoity,,1,0.1
Rajkot,2012,Kidnapping Total,Kidnapping & Abduction,,66,4.7
Rajkot,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,50,3.6
Rajkot,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,16,1.2
Rajkot,2012,Dacoity,Dacoity,,14,1
Ranchi,2012,Kidnapping Total,Kidnapping & Abduction,,86,7.6
Ranchi,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,80,7.1
Ranchi,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,6,0.5
Ranchi,2012,Dacoity,Dacoity,,16,1.4
Srinagar,2012,Kidnapping Total,Kidnapping & Abduction,,100,7.9
Srinagar,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,89,7
Srinagar,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,11,0.9
Srinagar,2012,Dacoity,Dacoity,,0,0
Surat,2012,Kidnapping Total,Kidnapping & Abduction,,91,2
Surat,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,66,1.4
Surat,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,25,0.5
Surat,2012,Dacoity,Dacoity,,6,0.1
Thiruvananthapuram,2012,Kidnapping Total,Kidnapping & Abduction,,23,1.4
Thiruvananthapuram,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,16,0.9
Thiruvananthapuram,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,7,0.4
Thiruvananthapuram,2012,Dacoity,Dacoity,,4,0.2
Thrissur,2012,Kidnapping Total,Kidnapping & Abduction,,13,0.7
Thrissur,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,9,0.5
Thrissur,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,4,0.2
Thrissur,2012,Dacoity,Dacoity,,1,0.1
Tiruchirappalli,2012,Kidnapping Total,Kidnapping & Abduction,,22,2.2
Tiruchirappalli,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,13,1.3
Tiruchirappalli,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,9,0.9
Tiruchirappalli,2012,Dacoity,Dacoity,,0,0
Vadodara,2012,Kidnapping Total,Kidnapping & Abduction,,67,3.7
Vadodara,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,57,3.1
Vadodara,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,10,0.6
Vadodara,2012,Dacoity,Dacoity,,9,0.5
Varanasi,2012,Kidnapping Total,Kidnapping & Abduction,,54,3.8
Varanasi,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,45,3.1
Varanasi,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,9,0.6
Varanasi,2012,Dacoity,Dacoity,,0,0
Vasai-Virar,2012,Kidnapping Total,Kidnapping & Abduction,,26,2.1
Vasai-Virar,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,17,1.4
Vasai-Virar,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,9,0.7
Vasai-Virar,2012,Dacoity,Dacoity,,11,0.9
Vijayawada,2012,Kidnapping Total,Kidnapping & Abduction,,66,4.4
Vijayawada,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,39,2.6
Vijayawada,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,27,1.8
Vijayawada,2012,Dacoity,Dacoity,,1,0.1
Vishakhapatnam,2012,Kidnapping Total,Kidnapping & Abduction,,27,1.6
Vishakhapatnam,2012,Kidnapping of Women & Girls,Kidnapping & abduction of women and girls,,20,1.2
Vishakhapatnam,2012,Kidnapping & abduction of others,Kidnapping & abduction of others,,7,0.4
Vishakhapatnam,2012,Dacoity,Dacoity,,14,0.8
Agra,2012,Preparation & Assembly for Dacoity (Sec. 399-402 IPC),Preparation & assembly for dacoity,(Sec. 399-402 IPC),5,0.3
Agra,2012,"Robbery (Sec. 392-394,397,398 IPC)",Robbery,"(Sec. 392-394,397,398 IPC)",136,7.8
Agra,2012,"Burglary (Sec. 449-452,454,455,457-460 IPC)",Burglary,"(Sec. 449-452,454,455,457-460 IPC)",296,17
Ahmedabad,2012,Preparation & Assembly for Dacoity (Sec. 399-402 IPC),Preparation & assembly for dacoity,(Sec. 399-402 IPC),0,0
Ahmedabad,2012,"Robbery (Sec. 392-394,397,398 IPC)",Robbery,"(Sec. 392-394,397,398 IPC)",603,9.5
Ahmedabad,2012,"Burglary (Sec. 449-452,454,455,457-460 IPC)",Burglary,"(Sec. 449-452,454,455,457-460 IPC)",701,11
Allahabad,2012,Preparation & Assembly for Dacoity (Sec. 399-402 IPC),Preparation & assembly for dacoity,(Sec. 399-402 IPC),5,0.4
Allahabad,2012,"Robbery (Sec. 392-394,397,398 IPC)",Robbery,"(Sec. 392-394,397,398 IPC)",22,1.8
Allahabad,2012,"Burglary (Sec. 449-452,454,455,457-460 IPC)",Burglary,"(Sec. 449-452,454,455,457-460 IPC)",135,11.1
Amritsar,2012,Preparation & Assembly for Dacoity (Sec. 399-402 IPC),Preparation & assembly for dacoity,(Sec. 399-402 IPC),14,1.2
Amritsar,2012,"Robbery (Sec. 392-394,397,398 IPC)",Robbery,"(Sec. 392-394,397,398 IPC)",25,2.1
Amritsar,2012,"Burglary (Sec. 449-452,454,455,457-460 IPC)",Burglary,"(Sec. 449-452,454,455,457-460 IPC)",158,13.3
Asansol,2012,Preparation & Assembly for Dacoity (Sec. 399-402 IPC),Preparation & assembly for dacoity,(Sec. 399-402 IPC),44,3.5
Asansol,2012,"Robbery (Sec. 392-394,397,398 IPC)",Robbery,"(Sec. 392-394,397,398 IPC)",75,6
Asansol,2012,"Burglary (Sec. 449-452,454,455,457-460 IPC)",Burglary,"(Sec. 449-452,454,455,457-460 IPC)",21,1.7
Aurangabad,2012,Preparation & Assembly for Dacoity (Sec. 399-402 IPC),Preparation & assembly for dacoity,(Sec. 399-402 IPC),8,0.7
Aurangabad,2012,"Robbery (Sec. 392-394,397,398 IPC)",Robbery,"(Sec. 392-394,397,398 IPC)",178,15
Aurangabad,2012,"Burglary (Sec. 449-452,454,455,457-460 IPC)",Burglary,"(Sec. 449-452,454,455,457-460 IPC)",292,24.6
Bengaluru,2012,Preparation & Assembly for Dacoity (Sec. 399-402 IPC),Preparation & assembly for dacoity,(Sec. 399-402 IPC),470,5.5
Bengaluru,2012,"Robbery (Sec. 392-394,397,398 IPC)",Robbery,"(Sec. 392-394,397,398 IPC)",670,7.9
Bengaluru,2012,"Burglary (Sec. 449-452,454,455,457-460 IPC)",Burglary,"(Sec. 449-452,454,455,457-460 IPC)",1240,14.6
Bhopal,2012,Preparation & Assembly for Dacoity (Sec. 399-402 IPC),Preparation & assembly for dacoity,(Sec. 399-402 IPC),2,0.1
Bhopal,2012,"Robbery (Sec. 392-394,397,398 IPC)",Robbery,"(Sec. 392-394,397,398 IPC)",187,9.9
Bhopal,2012,"Burglary (Sec. 449-452,454,455,457-460 IPC)",Burglary,"(Sec. 449-452,454,455,457-460 IPC)",870,46.2
Chandigarh City,2012,Preparation & Assembly for Dacoity (Sec. 399-402 IPC),Preparation & assembly for dacoity,(Sec. 399-402 IPC),7,0.7
Chandigarh City,2012,"Robbery (Sec. 392-394,397,398 IPC)",Robbery,"(Sec. 392-394,397,398 IPC)",55,5.4
Chandigarh City,2012,"Burglary (Sec. 449-452,454,455,457-460 IPC)",Burglary,"(Sec. 449-452,454,455,457-460 IPC)",226,22
Chennai,2012,Preparation & Assembly for Dacoity (Sec. 399-402 IPC),Preparation & assembly for dacoity,(Sec. 399-402 IPC),0,0
Chennai,2012,"Robbery (Sec. 392-394,397,398 IPC)",Robbery,"(Sec. 392-394,397,398 IPC)",85,1
Chennai,2012,"Burglary (Sec. 449-452,454,455,457-460 IPC)",Burglary,"(Sec. 449-452,454,455,457-460 IPC)",546,6.3
Coimbatore,2012,Preparation & Assembly for Dacoity (Sec. 399-402 IPC),Preparation & assembly for dacoity,(Sec. 399-402 IPC),0,0
Coimbatore,2012,"Robbery (Sec. 392-394,397,398 IPC)",Robbery,"(Sec. 392-394,397,398 IPC)",101,4.7
Coimbatore,2012,"Burglary (Sec. 449-452,454,455,457-460 IPC)",Burglary,"(Sec. 449-452,454,455,457-460 IPC)",125,5.8
